evidence_label,model,feature,period,variant,games,ladder_brier,delta_ladder_brier_vs_original,ladder_log_loss,delta_ladder_log_loss_vs_original,ladder_ece,delta_ladder_ece_vs_original,crps,delta_crps_vs_original
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,2433,0.2265971252249289,-2.582071277068554e-05,0.6448617502072229,-5.412342770449996e-05,0.010436071182218582,0.0001818689752002868,2.5259720090410127,-0.00018010824819292282
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_P95_CAP,2433,0.22661957409885747,-3.3718388421088985e-06,0.6449098364958363,-6.037139091086274e-06,0.010043211041402067,-0.00021099116561622798,2.5261253423260586,-2.6774963147069286e-05
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,FROZEN_2025_VALIDATION,ZERO_COEFFICIENT_CONTRIBUTION,2433,0.2265971252249289,-2.582071277068554e-05,0.6448617502072229,-5.412342770449996e-05,0.010436071182218582,0.0001818689752002868,2.5259720090410127,-0.00018010824819292282
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_MEAN,1281,0.2256510148605712,3.173019513105779e-05,0.6428569357030691,6.82098302209333e-05,0.015723625394863768,0.0008595625554202214,2.4933615451782325,0.0003196187410727802
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,TRAINING_P95_CAP,1281,0.22563261661997394,1.3331954533790658e-05,0.642817479923481,2.875405063285097e-05,0.015260526900624212,0.0003964640611806656,2.493179023811554,0.0001370973743943793
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_SEQUENTIAL_EARLY,ZERO_COEFFICIENT_CONTRIBUTION,1281,0.2256510148605712,3.173019513105779e-05,0.6428569357030691,6.82098302209333e-05,0.015723625394863768,0.0008595625554202214,2.4933615451782325,0.0003196187410727802
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_MEAN,439,0.2307260092263039,1.3911797615367982e-05,0.6540594349908948,5.0902486086190635e-05,0.03428458831415466,3.14727661764741e-05,2.595760888703326,0.00044503506879101096
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,TRAINING_P95_CAP,439,0.23072148413308172,9.386704393182788e-06,0.65404052432399,3.199181918134286e-05,0.033925414247737415,-0.00032770130024076943,2.5955780595044713,0.00026220586993641604
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,2026_LATE_HOLDOUT,ZERO_COEFFICIENT_CONTRIBUTION,439,0.2307260092263039,1.3911797615367982e-05,0.6540594349908948,5.0902486086190635e-05,0.03428458831415466,3.14727661764741e-05,2.595760888703326,0.00044503506879101096
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_MEAN,126,0.22183491249645917,-8.378275823478498e-06,0.6349097073963256,-6.896077521467703e-06,0.029326758539969192,0.000279703510831876,2.2963236496002346,-0.00045002748091871325
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,TRAINING_P95_CAP,126,0.22183606529137767,-7.225480904982096e-06,0.6349037297567629,-1.2873717084138647e-05,0.03090340156283345,0.0018563465336961342,2.2965106498661734,-0.0002630272149799495
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,home_starter_prior_starts,PROSPECTIVE_AUG06_15,ZERO_COEFFICIENT_CONTRIBUTION,126,0.22183491249645917,-8.378275823478498e-06,0.6349097073963256,-6.896077521467703e-06,0.029326758539969192,0.000279703510831876,2.2963236496002346,-0.00045002748091871325
COUNTERFACTUAL_ONLY_NOT_A_MODEL,PARK_REPAIR,away_starter_prior_starts,FROZEN_2025_VALIDATION,TRAINING_MEAN,2433,0.22651392900346964,-0.00010901693422993297,0.6446320586801578,-0.00028381495476959007,0.015293706566131727,0.005039504359113432,2.52492235128054,-0.0012297660086657558
