model,period,scope,games,contribution_residual_pearson,count_residual_pearson,mean_contribution,mean_residual,support_band,mae
CONTROL,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,317,-0.006919227143266277,,0.02309026523653378,0.23936127033388976,EITHER_COUNT_ABOVE_TRAINING_P99,3.5433193065089315
CONTROL,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,940,-0.08234391202517406,,0.03484904999371359,0.15928871623449115,EITHER_COUNT_ABOVE_TRAINING_MAX,3.6608006246479325
CONTROL,2026_SEQUENTIAL_EARLY,home_starter_prior_starts,1281,-0.04120457907002532,-0.0412045790700253,0.02443896799962234,0.5774332448470871,,
CONTROL,2026_SEQUENTIAL_EARLY,away_starter_prior_starts,1281,-0.008703148239683779,-0.00870314823968378,0.0015992829720262354,0.5774332448470871,,
CONTROL,2026_SEQUENTIAL_EARLY,JOINT_HOME_AWAY,1281,-0.04150454512781399,,0.026038250971648576,0.5774332448470871,,
CONTROL,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,694,-0.04980926544093069,,0.04059736813356923,0.40895178802428034,EITHER_COUNT_ABOVE_TRAINING_MAX,3.393007594646819
CONTROL,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,377,-0.019398986015246884,,0.0029170603786522467,0.6855825024801103,IN_SUPPORT_AT_OR_BELOW_P95,3.561962489222372
CONTROL,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,139,0.20563409757998677,,0.017100335574199422,0.8599843852382083,EITHER_COUNT_ABOVE_TRAINING_P95,3.8794700683397236
CONTROL,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,71,-0.25705294331649753,,0.02399644510449528,1.096859334889516,EITHER_COUNT_ABOVE_TRAINING_P99,3.851807295454826
CONTROL,2026_LATE_HOLDOUT,home_starter_prior_starts,439,-0.00630804810919078,-0.0063080481091907946,0.027298585390823416,0.6610547573577193,,
CONTROL,2026_LATE_HOLDOUT,away_starter_prior_starts,439,0.06550272306058988,0.06550272306058987,0.0018423268607997917,0.6610547573577193,,
CONTROL,2026_LATE_HOLDOUT,JOINT_HOME_AWAY,439,-0.0019787830040905547,,0.029140912251623206,0.6610547573577193,,
CONTROL,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,255,-0.05450810244741959,,0.043484018006595924,0.8803543568528223,EITHER_COUNT_ABOVE_TRAINING_MAX,3.83798923034504
CONTROL,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,40,0.03115376020996485,,0.015124113393575828,-0.18170018414950279,EITHER_COUNT_ABOVE_TRAINING_P95,3.152119162294814
CONTROL,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,105,0.09851645071780707,,0.002188269140342308,0.49494583270924564,IN_SUPPORT_AT_OR_BELOW_P95,3.351365103488996
CONTROL,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,39,-0.22893132104142935,,0.022300079264144918,0.5387531388225244,EITHER_COUNT_ABOVE_TRAINING_P99,4.053624612149221
CONTROL,PROSPECTIVE_AUG06_15,home_starter_prior_starts,126,-0.1456049135383149,-0.14560491353831498,0.026878057373557907,0.558992375399351,,
CONTROL,PROSPECTIVE_AUG06_15,away_starter_prior_starts,126,0.08860379598290534,0.08860379598290531,0.001959473719268457,0.558992375399351,,
CONTROL,PROSPECTIVE_AUG06_15,JOINT_HOME_AWAY,126,-0.13884418823449926,,0.02883753109282636,0.558992375399351,,
CONTROL,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,73,-0.1636153449827478,,0.04282107576126325,0.5027906057933846,EITHER_COUNT_ABOVE_TRAINING_MAX,3.7140594611545423
CONTROL,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,15,0.054435202166015814,,0.020968549573354825,-0.4516026696375005,EITHER_COUNT_ABOVE_TRAINING_P99,2.378386447606002
CONTROL,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,33,-0.1499919644292597,,0.003843309436811364,0.9525918543741897,IN_SUPPORT_AT_OR_BELOW_P95,2.582863360973485
CONTROL,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,5,-0.13587779753800527,,0.013246586421761472,1.81356678552308,EITHER_COUNT_ABOVE_TRAINING_P95,3.8889876386444526
PARK_REPAIR,DEVELOPMENT_2023_24,home_starter_prior_starts,4859,1.930068571141772e-05,1.9300685711406566e-05,-4.5697593110728814e-20,-8.453280948370463e-06,,
PARK_REPAIR,DEVELOPMENT_2023_24,away_starter_prior_starts,4859,0.0002504767799810219,-0.00025047677998102645,1.0967422346574915e-18,-8.453280948370463e-06,,
PARK_REPAIR,DEVELOPMENT_2023_24,JOINT_HOME_AWAY,4859,0.0002569546014549773,,1.462322979543322e-18,-8.453280948370463e-06,,
PARK_REPAIR,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,4435,0.00867287931059516,,0.0014448547871513215,-0.017857264892131228,IN_SUPPORT_AT_OR_BELOW_P95,3.5222343225462347
PARK_REPAIR,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,350,-0.04182075007097551,,-0.014165620950960953,0.22364519999314147,EITHER_COUNT_ABOVE_TRAINING_P95,3.4522309742040727
PARK_REPAIR,DEVELOPMENT_2023_24,JOINT_SUPPORT_BAND,74,0.11738203187624359,,-0.01959410335378073,0.011892909552356508,EITHER_COUNT_ABOVE_TRAINING_P99,3.366796316396166
PARK_REPAIR,FROZEN_2025_VALIDATION,home_starter_prior_starts,2433,-0.032283016272720205,-0.03228301627272024,0.0009145103319378666,0.022841271842263648,,
PARK_REPAIR,FROZEN_2025_VALIDATION,away_starter_prior_starts,2433,-0.04592235931184474,0.04592235931184474,-0.016127035344655132,0.022841271842263648,,
PARK_REPAIR,FROZEN_2025_VALIDATION,JOINT_HOME_AWAY,2433,-0.04773233975809015,,-0.015212525012717264,0.022841271842263648,,
PARK_REPAIR,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,806,-0.03719015971074017,,-0.002728995109579702,-0.06235044066079731,IN_SUPPORT_AT_OR_BELOW_P95,3.6348559082971947
PARK_REPAIR,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,370,-0.041440027228350454,,-0.013920183351066222,-0.13267395056416764,EITHER_COUNT_ABOVE_TRAINING_P95,3.4380553581428632
PARK_REPAIR,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,317,0.07949953064410795,,-0.02017967416911272,0.1255678702308745,EITHER_COUNT_ABOVE_TRAINING_P99,3.5536902805273725
PARK_REPAIR,FROZEN_2025_VALIDATION,JOINT_SUPPORT_BAND,940,-0.08324369856340844,,-0.024750083772464498,0.12245916639402647,EITHER_COUNT_ABOVE_TRAINING_MAX,3.6728925135484762
PARK_REPAIR,2026_SEQUENTIAL_EARLY,home_starter_prior_starts,1281,0.004942664178193978,0.004942664178193981,0.00116543644240135,0.17030081717828816,,
PARK_REPAIR,2026_SEQUENTIAL_EARLY,away_starter_prior_starts,1281,-0.037916207321881196,0.03791620732188121,-0.021028935379906452,0.17030081717828816,,
PARK_REPAIR,2026_SEQUENTIAL_EARLY,JOINT_HOME_AWAY,1281,-0.03772976643642465,,-0.0198634989375051,0.17030081717828816,,
PARK_REPAIR,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,694,-0.05905637126762376,,-0.030919662286684427,0.19707783752932936,EITHER_COUNT_ABOVE_TRAINING_MAX,3.412259578146091
PARK_REPAIR,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,377,-0.024871545663390254,,-0.0026698878868905303,-0.028335396787977654,IN_SUPPORT_AT_OR_BELOW_P95,3.595650484929667
PARK_REPAIR,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,139,0.1051933849552721,,-0.013534353303349522,0.3516516886520129,EITHER_COUNT_ABOVE_TRAINING_P95,3.9663699006840862
PARK_REPAIR,2026_SEQUENTIAL_EARLY,JOINT_SUPPORT_BAND,71,-0.06464131195579799,,-0.015479910837489192,0.6082561609362,EITHER_COUNT_ABOVE_TRAINING_P99,3.804281217418452
PARK_REPAIR,2026_LATE_HOLDOUT,home_starter_prior_starts,439,0.032687375856586466,0.03268737585658646,0.0013018048160201511,0.17216178771991095,,
PARK_REPAIR,2026_LATE_HOLDOUT,away_starter_prior_starts,439,-0.10988376888500526,0.10988376888500527,-0.02422471393873453,0.17216178771991095,,
PARK_REPAIR,2026_LATE_HOLDOUT,JOINT_HOME_AWAY,439,-0.10780862412330314,,-0.022922909122714382,0.17216178771991095,,
PARK_REPAIR,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,255,-0.04541807150815064,,-0.03333457911773341,0.5696654583926889,EITHER_COUNT_ABOVE_TRAINING_MAX,3.8674086464570463
PARK_REPAIR,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,40,-0.021089935237823754,,-0.015787044850862342,-0.8451681368046622,EITHER_COUNT_ABOVE_TRAINING_P95,3.3381225148443456
PARK_REPAIR,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,105,-0.1333866296471832,,-0.001856774678253295,-0.3306877767751162,IN_SUPPORT_AT_OR_BELOW_P95,3.507566040792419
PARK_REPAIR,2026_LATE_HOLDOUT,JOINT_SUPPORT_BAND,39,-0.311122908589492,,-0.018881956271756487,-0.029659616603104528,EITHER_COUNT_ABOVE_TRAINING_P99,4.157260243577393
PARK_REPAIR,PROSPECTIVE_AUG06_15,home_starter_prior_starts,126,-0.09901521452205218,-0.09901521452205221,0.0012817508318920328,0.023905626931632923,,
PARK_REPAIR,PROSPECTIVE_AUG06_15,away_starter_prior_starts,126,-0.1507730515950488,0.15077305159504883,-0.025765075313041834,0.023905626931632923,,
PARK_REPAIR,PROSPECTIVE_AUG06_15,JOINT_HOME_AWAY,126,-0.1563639749928841,,-0.0244833244811498,0.023905626931632923,,
PARK_REPAIR,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,73,-0.19778685484198363,,-0.0364688481761022,0.16541590273534615,EITHER_COUNT_ABOVE_TRAINING_MAX,3.7242679622197423
PARK_REPAIR,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,15,-0.3291581308121411,,-0.01963983894457015,-1.021302068345799,EITHER_COUNT_ABOVE_TRAINING_P99,2.6473827359998863
PARK_REPAIR,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,33,0.07662890514453495,,-0.001398060867075797,0.03229321553493696,IN_SUPPORT_AT_OR_BELOW_P95,2.496493292642004
PARK_REPAIR,PROSPECTIVE_AUG06_15,JOINT_SUPPORT_BAND,5,-0.5607370658058097,,-0.01638787499747216,1.0381206012479118,EITHER_COUNT_ABOVE_TRAINING_P95,3.971180114452134
