row_type,feature,pitcher_id,games,comparison,within_pitcher_pearson,within_pitcher_month_pearson,within_pitcher_date_and_quality_controlled_pearson,within_pitcher_direct_signal,count_actual_pearson,mean_within_pitcher_count_change,count_raw_residual_pearson,count_repaired_residual_pearson,count_quality_pearson
PITCHER,home_starter_prior_starts,592866,29,final_total,,,,ABSENT,0.16802168420737398,2.107142857142857,0.188306672416436,0.15006258080114018,0.22869203855672465
PITCHER,home_starter_prior_starts,593334,10,final_total,,,,ABSENT,0.6830152682267246,2.0,0.697256776530375,0.6987973886638071,-0.27104651455142714
PITCHER,home_starter_prior_starts,593423,18,final_total,,,,ABSENT,0.33140523937624755,2.1176470588235294,0.38760465103695624,0.39075869941988395,0.39837481769824123
PITCHER,home_starter_prior_starts,593958,42,final_total,,,,ABSENT,0.04269868205161095,2.048780487804878,0.0571569548326387,0.015284874156203375,0.7164625741922696
PITCHER,home_starter_prior_starts,594798,31,final_total,,,,ABSENT,-0.01602093690148467,1.9333333333333333,0.11055146707765488,0.08751174605400636,-0.3624045627331435
PITCHER,home_starter_prior_starts,594902,25,final_total,,,,ABSENT,-0.1494682812540232,2.0416666666666665,-0.11231912045980882,-0.12048390961275966,0.3207386455373962
PITCHER,home_starter_prior_starts,596133,11,final_total,,,,ABSENT,-0.2828303005017164,2.2,-0.2721145840547451,-0.2709264853126688,0.3857886396278567
PITCHER,home_starter_prior_starts,596295,35,final_total,,,,ABSENT,-0.13322334365139418,1.9705882352941178,-0.17345581530679186,-0.19388973074557136,-0.6612207808103711
PITCHER,home_starter_prior_starts,601713,40,final_total,,,,ABSENT,-0.15269135727713826,1.9743589743589745,-0.07322379578408926,-0.08794773834836224,-0.6080606815871463
PITCHER,home_starter_prior_starts,605135,55,final_total,,,,ABSENT,0.17448756739202873,1.8703703703703705,0.17543325272033317,0.17056286122185335,-0.3018767619214331
PITCHER,home_starter_prior_starts,605182,14,final_total,,,,ABSENT,-0.15818218158352532,1.9230769230769231,-0.10439689111710164,-0.11758460187511983,0.02378737633464946
PITCHER,home_starter_prior_starts,605200,12,final_total,,,,ABSENT,-0.0032420517890829215,1.3636363636363635,0.02202665622388422,0.01340452154053742,0.6942391127242409
PITCHER,home_starter_prior_starts,605280,19,final_total,,,,ABSENT,-0.20670240257846131,2.0555555555555554,-0.22227831652134833,-0.23218586916350878,0.013106540290247133
PITCHER,home_starter_prior_starts,605288,28,final_total,,,,ABSENT,0.20737791241384362,2.2222222222222223,0.2620986562321562,0.22710003920842167,0.4757114484094906
PITCHER,home_starter_prior_starts,605397,22,final_total,,,,ABSENT,-0.39867675763543453,1.5714285714285714,-0.3659732667529485,-0.3827308746909127,-0.6187418884512988
PITCHER,home_starter_prior_starts,605400,51,final_total,,,,ABSENT,0.12943867695169783,2.04,0.15852011415942285,0.12944642462175285,-0.37334879639838353
PITCHER,home_starter_prior_starts,605483,35,final_total,,,,ABSENT,0.03653947546198153,1.8529411764705883,0.09719249545653764,0.07792455660432378,-0.649684317138287
PITCHER,home_starter_prior_starts,605488,33,final_total,,,,ABSENT,0.41175635533913724,1.90625,0.3502402407190607,0.3670874823356196,0.7298377418126761
PITCHER,home_starter_prior_starts,605540,16,final_total,,,,ABSENT,0.34665914980235457,1.9333333333333333,0.40898468973756313,0.3592941867171109,0.8038041330754955
PITCHER,home_starter_prior_starts,607067,54,final_total,,,,ABSENT,0.026445063828851013,1.7358490566037736,0.07314998879735582,0.05755789834747025,0.050491658728640094
PITCHER,home_starter_prior_starts,607074,39,final_total,,,,ABSENT,0.0724419656737269,2.236842105263158,0.06786511936601672,0.04980972443180959,-0.8289456849003739
PITCHER,home_starter_prior_starts,607192,37,final_total,,,,ABSENT,0.010069055060521739,1.8333333333333333,0.05734739485246488,0.015212023972645077,-0.5261324548677394
PITCHER,home_starter_prior_starts,607200,27,final_total,,,,ABSENT,0.5976963772357081,2.5,0.6140995541961904,0.6119760025862209,0.3563120449819547
PITCHER,home_starter_prior_starts,607259,37,final_total,,,,ABSENT,0.04543082242397547,1.9722222222222223,0.13507142258533775,0.14457312638818534,-0.06416645741979154
PITCHER,home_starter_prior_starts,607536,51,final_total,,,,ABSENT,0.03565233740547817,1.98,-0.011689908785609463,-0.04503764044867613,0.5642018524897487
PITCHER,home_starter_prior_starts,607625,55,final_total,,,,ABSENT,0.1478578171575414,1.9444444444444444,0.15226341268614196,0.1383030181153251,0.11489828361149314
PITCHER,home_starter_prior_starts,608331,37,final_total,,,,ABSENT,-0.023837678596042012,2.3333333333333335,0.019942877296539093,-0.004381243573529841,0.5020482106082932
PITCHER,home_starter_prior_starts,608337,29,final_total,,,,ABSENT,-0.015600532416216522,2.142857142857143,0.05140565004422994,0.011212924384276193,0.28687916008411846
PITCHER,home_starter_prior_starts,608344,15,final_total,,,,ABSENT,0.31716348958171786,1.7142857142857142,0.3776501369347054,0.3598421673144327,-0.8469968652992658
PITCHER,home_starter_prior_starts,608372,25,final_total,,,,ABSENT,-0.1787232173810089,1.9583333333333333,-0.29950739824823486,-0.3080315260655902,0.8285747595937106
PITCHER,home_starter_prior_starts,608379,54,final_total,,,,ABSENT,-0.14639458007018402,1.9433962264150944,-0.14395789879688478,-0.1640575352713068,-0.1487858421724362
PITCHER,home_starter_prior_starts,608566,17,final_total,,,,ABSENT,-0.03732305444100728,2.25,0.11833200857968537,0.11308545427177791,0.34262895211787386
PITCHER,home_starter_prior_starts,615698,36,final_total,,,,ABSENT,0.05193083189540483,2.257142857142857,0.08967414828594931,0.07827445848036535,-0.14262749104408434
PITCHER,home_starter_prior_starts,621107,36,final_total,,,,ABSENT,0.05007148765822716,2.085714285714286,0.09691157519633367,0.0796137442967467,0.656997710435757
PITCHER,home_starter_prior_starts,621111,34,final_total,,,,ABSENT,0.02790317929671034,1.8484848484848484,0.08828459627346519,0.06189108781909352,-0.3280903139205879
PITCHER,home_starter_prior_starts,621112,18,final_total,,,,ABSENT,0.19445666642195011,2.235294117647059,0.24512416205683668,0.2233773340894182,0.08670584412907277
PITCHER,home_starter_prior_starts,621121,11,final_total,,,,ABSENT,-0.1693062841656924,1.9,-0.12581185806553058,-0.14458175907187237,0.30189278978091955
PITCHER,home_starter_prior_starts,621244,44,final_total,,,,ABSENT,0.37794215239776296,2.0930232558139537,0.3866628914701201,0.3747373159289636,-0.3796155282131275
PITCHER,home_starter_prior_starts,621389,14,final_total,,,,ABSENT,-0.006828713676870643,1.6923076923076923,-0.03865305802160206,-0.050095755467340006,0.8797939667526721
PITCHER,home_starter_prior_starts,622072,10,final_total,,,,ABSENT,-0.1525951892109952,2.0,-0.09741013801002806,-0.1255842331077147,0.2965828145185334
PITCHER,home_starter_prior_starts,622491,57,final_total,,,,ABSENT,-0.11131385980393382,1.9642857142857142,-0.015593260818256478,-0.03408894486270095,0.52395255843011
PITCHER,home_starter_prior_starts,622608,14,final_total,,,,ABSENT,0.2615623295875914,1.8461538461538463,0.2581151578682547,0.25097214130721396,0.885957888455048
PITCHER,home_starter_prior_starts,622663,44,final_total,,,,ABSENT,0.15966902093582205,2.046511627906977,-0.007116569526949304,0.0837555267966703,-0.5077171880440656
PITCHER,home_starter_prior_starts,623167,27,final_total,,,,ABSENT,-0.3376246816092432,1.7307692307692308,-0.22348183471852462,-0.23278382028404726,-0.6020789128971937
PITCHER,home_starter_prior_starts,624133,47,final_total,,,,ABSENT,-0.15139824166518923,1.9782608695652173,-0.0921554279757861,-0.10851934175155899,-0.4094523142589364
PITCHER,home_starter_prior_starts,625643,19,final_total,,,,ABSENT,0.21673031999619918,1.8888888888888888,0.32387388356944385,0.3050066422681256,0.8470385162478402
PITCHER,home_starter_prior_starts,628317,17,final_total,,,,ABSENT,-0.06813702025989335,2.1875,-0.07299720440831518,-0.08947207200451011,0.477879624322833
PITCHER,home_starter_prior_starts,628711,11,final_total,,,,ABSENT,0.0927377738048169,2.0,0.16640824922618408,0.1618321905318497,0.5607383461567931
PITCHER,home_starter_prior_starts,640455,33,final_total,,,,ABSENT,-0.10138462469376984,1.9375,-0.05273521488597893,-0.08376556718744918,-0.5143119708073864
PITCHER,home_starter_prior_starts,641154,37,final_total,,,,ABSENT,0.02792312257141158,2.0833333333333335,0.038328405603641015,0.028213250996804582,0.4330840839940449
PITCHER,home_starter_prior_starts,641482,26,final_total,,,,ABSENT,-0.07562484245951988,1.96,-0.02854012007386341,-0.05505370250007044,0.045989273972992205
PITCHER,home_starter_prior_starts,641540,17,final_total,,,,ABSENT,-0.3990388043564846,2.375,-0.3359729509984469,-0.3468583653635271,0.8184914494423242
PITCHER,home_starter_prior_starts,641585,15,final_total,,,,ABSENT,0.21589296623381127,1.7142857142857142,0.2189474045422439,0.21464463729042976,0.5675259790557569
