provider_event_id,game_pk,raw_provider_player_name,normalized_provider_name,official_player_name,normalized_official_name,player_mlb_id,normalization_operations,candidate_count_before_normalization,candidate_count_after_normalization,decision,reason,side,line,price,source_observed_at_utc,raw_payload_path,raw_payload_sha256
2803bb8e96c2e13f37418f06bbba2ead,824242,Taylor Ward,taylor ward,Taylor Ward,taylor ward,621493,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,155,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Taylor Ward,taylor ward,Taylor Ward,taylor ward,621493,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-204,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Hao-Yu Lee,hao-yu lee,Hao-Yu Lee,hao-yu lee,701678,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,132,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Hao-Yu Lee,hao-yu lee,Hao-Yu Lee,hao-yu lee,701678,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-172,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Pete Alonso,pete alonso,Pete Alonso,pete alonso,624413,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,130,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Pete Alonso,pete alonso,Pete Alonso,pete alonso,624413,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-169,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Kevin McGonigle,kevin mcgonigle,Kevin McGonigle,kevin mcgonigle,805808,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,1.5,144,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Kevin McGonigle,kevin mcgonigle,Kevin McGonigle,kevin mcgonigle,805808,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,1.5,-189,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Christian Encarnacion-Strand,christian encarnacion-strand,Christian Encarnacion-Strand,christian encarnacion-strand,687952,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Over,0.5,-123,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
2803bb8e96c2e13f37418f06bbba2ead,824242,Christian Encarnacion-Strand,christian encarnacion-strand,Christian Encarnacion-Strand,christian encarnacion-strand,687952,casefold,1,1,EXACT_UNIQUE_MATCH,one exact normalized full-name match within exact official game roster,Under,0.5,-105,2026-07-29T03:45:54Z,backend/mlb/exports/cleanroom_v1/raw/THE_ODDS_API/2026-07-28/cleanroom_20260729T034547Z/event_2803bb8e96c2e13f37418f06bbba2ead.json,d7529c5331a9005f43412cfc4bbb1b6f5bdf0ff2828b1964f5bd0adcef55289d
